"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_mcp_missing_input","tests","2025-12-24","passed","2025-12-24","","test_mcp","",""
"","91748","test_complete_epic_connection_flow","tests","2025-12-24","passed","2025-12-24","","Fillform","",""
"","10827","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_OAuthtoken","",""
"","10650","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_OAuthURL","",""
"","8848","test_add_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_ClientSecret","",""
"","8801","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","ClickAutodetect","",""
"","10406","test_open_standalone_launch_form","tests","2025-12-24","passed","2025-12-24","","Standalone_open","",""
"","676","test_complete_epic_connection_flow","","2025-12-24","broken","2025-12-24","","","",""
"","5293","test_wrong_username_and_password","tests","2025-12-24","passed","2025-12-24","","wrong_username_and_pass","",""
"","8685","test_fill_standalone_connection_form","tests","2025-12-24","passed","2025-12-24","","Fill_Baselurl","",""
"","2997","test_login_ui","tests","2025-12-24","passed","2025-12-24","","login_ui","",""
"","7285","test_login_fields","tests","2025-12-24","passed","2025-12-24","","loginfields","",""
"","11428","test_fill_epic_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_OAuthScopes","",""
"","7970","test_add_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_ClientID","",""
"","6872","test_dashboard_ui","tests","2025-12-24","passed","2025-12-24","","dashboard_ui","",""
"","10585","test_add_standalone_connection","tests","2025-12-24","passed","2025-12-24","","Fill_ConnectionName","",""
"","4","test_mcp_echo","tests","2025-12-24","passed","2025-12-24","","test_mcp","",""
"","7963","test_dashboard_connections","tests","2025-12-24","passed","2025-12-24","","Dashboard","",""
"","25400","test_connections_add_new","tests","2025-12-24","failed","2025-12-24","","Connections","",""
"","4925","test_wrong_password","tests","2025-12-24","passed","2025-12-24","","Wrong pass","",""
